rank,player_id,player_name,country,highest_paying_game,total_overall_usd,total_game_usd,pct_of_total_num,source_url
42,RAMZES666,Roman Kushnarev,Russian Federation,Dota 2,2207611.08,2207611.08,100,https://www.esportsearnings.com/players/highest-earnings
43,Aqua,David Wang,Austria,Fortnite,2197375.23,2192375.23,99.77,https://www.esportsearnings.com/players/highest-earnings
44,Boxi,Samuel Svahn,Sweden,Dota 2,2186343.66,2144321.96,98.08,https://www.esportsearnings.com/players/highest-earnings
45,iNsania,Aydin Sarkohi,Sweden,Dota 2,2184759.69,2133725.05,97.66,https://www.esportsearnings.com/players/highest-earnings
46,miCKE,Michael Vu,Sweden,Dota 2,2175336.42,2127268.63,97.79,https://www.esportsearnings.com/players/highest-earnings
47,apEX,Dan Madesclaire,France,Counter-Strike: Global Offensive,2158015.64,1298119.05,60.15,https://www.esportsearnings.com/players/highest-earnings
48,Ace,Marcus Hoelgaard,Denmark,Dota 2,2156817.11,2156817.11,100,https://www.esportsearnings.com/players/highest-earnings
49,xNova,"Yap, Jian Wei",Malaysia,Dota 2,2146691.12,2146691.12,100,https://www.esportsearnings.com/players/highest-earnings
50,dev1ce,Nicolai Reedtz,Denmark,Counter-Strike: Global Offensive,2135789.98,1981892.22,92.79,https://www.esportsearnings.com/players/highest-earnings
51,karrigan,Finn Andersen,Denmark,Counter-Strike: Global Offensive,2112902.62,1651752.06,78.16999999999999,https://www.esportsearnings.com/players/highest-earnings
52,Aui_2000,Kurtis Ling,Canada,Dota 2,2073582.54,2073582.54,100,https://www.esportsearnings.com/players/highest-earnings
53,ropz,Robin Kool,Estonia,Counter-Strike: Global Offensive,2072577.41,1181527.41,57.01,https://www.esportsearnings.com/players/highest-earnings
54,Noone,Vladimir Minenko,Ukraine,Dota 2,2070799.78,2070799.78,100,https://www.esportsearnings.com/players/highest-earnings
55,Resolut1on,Roman Fominok,Ukraine,Dota 2,2063162.95,2063162.95,100,https://www.esportsearnings.com/players/highest-earnings
56,Nine,Leon Kirilin,Germany,Dota 2,2058860.94,2058860.94,100,https://www.esportsearnings.com/players/highest-earnings
57,Solo,Aleksey Berezin,Russian Federation,Dota 2,2053081.34,2053081.34,100,https://www.esportsearnings.com/players/highest-earnings
58,Larl,Denis Sigitov,Russian Federation,Dota 2,2047224.07,2047224.07,100,https://www.esportsearnings.com/players/highest-earnings
59,Magisk,Emil Reif,Denmark,Counter-Strike: Global Offensive,2046423.6300000001,1881123.6300000001,91.92,https://www.esportsearnings.com/players/highest-earnings
60,Chalice,"Yang, Shenyi",China,Dota 2,2040114.72,2040114.72,100,https://www.esportsearnings.com/players/highest-earnings
61,Quinn,Quinn Callahan,United States,Dota 2,2016970.27,2015670.27,99.94000000000001,https://www.esportsearnings.com/players/highest-earnings
62,iceice,"Li, Peng",China,Dota 2,2005164.6300000001,2005164.6300000001,100,https://www.esportsearnings.com/players/highest-earnings
63,aBeZy,Tyler Pharris,United States,Call of Duty: Black Ops Cold War,2003905.6800000002,483750,24.14,https://www.esportsearnings.com/players/highest-earnings
64,Xyp9x,Andreas HÃ¸jsleth,Denmark,Counter-Strike: Global Offensive,2003061.83,2001391.93,99.92,https://www.esportsearnings.com/players/highest-earnings
65,Shadow,"Chu, Zeyu",China,Dota 2,1982030.82,1982030.82,100,https://www.esportsearnings.com/players/highest-earnings
66,Yinuo,"Xu, Bicheng",China,Arena of Valor,1981640.1900000002,1981640.1900000002,100,https://www.esportsearnings.com/players/highest-earnings
67,NothingToSay,"Cheng, Jin Xiang",Malaysia,Dota 2,1978694.93,1978694.93,100,https://www.esportsearnings.com/players/highest-earnings
68,gla1ve,Lukas Rossander,Denmark,Counter-Strike: Global Offensive,1965451.35,1869687.1,95.13,https://www.esportsearnings.com/players/highest-earnings
69,bLink,"Zhou, Yang",China,Dota 2,1960761.59,1960761.59,100,https://www.esportsearnings.com/players/highest-earnings
70,psalm,Harrison Chang,United States,Fortnite,1959500,1874588.8,95.66999999999999,https://www.esportsearnings.com/players/highest-earnings
71,Simp,Christopher Lehr,United States,Call of Duty: Black Ops Cold War,1951328.33,500833.33,25.67,https://www.esportsearnings.com/players/highest-earnings
72,HuaHai,"Luo, Siyuan",China,Arena of Valor,1941993.3900000001,1941993.3900000001,100,https://www.esportsearnings.com/players/highest-earnings
73,Faker,"Lee, Sang Hyeok","Korea, Republic of",League of Legends,1922084.56,1922084.56,100,https://www.esportsearnings.com/players/highest-earnings
74,MidOne,"Zheng, Yeik Nai",Malaysia,Dota 2,1896531.44,1896531.44,100,https://www.esportsearnings.com/players/highest-earnings
75,xiao8,"Zhang, Ning",China,Dota 2,1877518.06,1870077.43,99.6,https://www.esportsearnings.com/players/highest-earnings
76,rain,HÃ¥vard Nygaard,Norway,Counter-Strike: Global Offensive,1872516.24,1444216.24,77.13,https://www.esportsearnings.com/players/highest-earnings
77,Serral,Joona Sotala,Finland,StarCraft II,1866325.57,1866325.57,100,https://www.esportsearnings.com/players/highest-earnings
78,kpii,Damien Chok,Australia,Dota 2,1865667.57,1865667.57,100,https://www.esportsearnings.com/players/highest-earnings
79,EpikWhale,Shane Cotton,United States,Fortnite,1857487.32,1857487.32,100,https://www.esportsearnings.com/players/highest-earnings
80,iceiceice,Daryl Koh Pei Xiang,Singapore,Dota 2,1812855.42,1810455.42,99.86999999999999,https://www.esportsearnings.com/players/highest-earnings
81,Cellium,McArthur Jovel,United States,Call of Duty: Black Ops Cold War,1795548.93,488750,27.22,https://www.esportsearnings.com/players/highest-earnings
82,Fly,"Peng, Yunfei",China,Arena of Valor,1788020.11,1788020.11,100,https://www.esportsearnings.com/players/highest-earnings
83,Twistzz,Russel Van Dulken,Canada,Counter-Strike: Global Offensive,1777243.1,1546793.1,87.03,https://www.esportsearnings.com/players/highest-earnings
84,Faith,"Zeng, Hongda",China,Dota 2,1764633.21,1746056.72,98.95,https://www.esportsearnings.com/players/highest-earnings
85,Super,"Xie, Junhao",China,Dota 2,1764310.33,1744279.6800000002,98.86,https://www.esportsearnings.com/players/highest-earnings
86,Hao,"Chen, Zhihao",China,Dota 2,1761674.53,1755233.44,99.63,https://www.esportsearnings.com/players/highest-earnings
87,NiKo,Nikola KovaÄ,Bosnia and Herzegovina,Counter-Strike: Global Offensive,1752160.1500000001,1301037.58,74.25,https://www.esportsearnings.com/players/highest-earnings
88,9pasha,Pavel Khvastunov,Russian Federation,Dota 2,1733385.1300000001,1733385.1300000001,100,https://www.esportsearnings.com/players/highest-earnings
89,s1mple,Oleksandr Kostyljev,Ukraine,Counter-Strike: Global Offensive,1723255.32,1718355.32,99.72,https://www.esportsearnings.com/players/highest-earnings
90,Cat,"Chen, Zhengzheng",China,Arena of Valor,1716947.58,1716947.58,100,https://www.esportsearnings.com/players/highest-earnings
91,Pang,"Li, Daheng",China,Arena of Valor,1696239.05,1696239.05,100,https://www.esportsearnings.com/players/highest-earnings
92,ZywOo,Mathieu Herbaut,France,Counter-Strike 2,1670234.31,852350,51.03,https://www.esportsearnings.com/players/highest-earnings
93,electroNic,Denis Sharipov,Russian Federation,Counter-Strike: Global Offensive,1669167.01,1558058.6700000002,93.34,https://www.esportsearnings.com/players/highest-earnings
94,1dao,"Zhong, Letian",China,Arena of Valor,1668931.71,1668931.71,100,https://www.esportsearnings.com/players/highest-earnings
95,Yu,"Cai, Youqi",China,Arena of Valor,1631265.55,1631265.55,100,https://www.esportsearnings.com/players/highest-earnings
96,Anas,Anas El-Abd,Denmark,Fortnite,1622990.05,1622990.05,100,https://www.esportsearnings.com/players/highest-earnings
97,MagnusCarlsen,Magnus Carlsen,Norway,chess24,1571051.02,888242.12,56.54,https://www.esportsearnings.com/players/highest-earnings
98,old eLeVeN,"Ren, Yangwei",China,Dota 2,1570503.07,1570503.07,100,https://www.esportsearnings.com/players/highest-earnings
99,Kami,MichaÅ KamiÅski,Poland,Fortnite,1563525.34,1563525.34,100,https://www.esportsearnings.com/players/highest-earnings
100,QingRong,"Huang, Yaoqin",China,Arena of Valor,1544979.29,1544979.29,100,https://www.esportsearnings.com/players/highest-earnings
101,Nyhrox,Emil Bergquist Pedersen,Norway,Fortnite,1543145.6900000002,1543145.6900000002,100,https://www.esportsearnings.com/players/highest-earnings-top-200
102,Xxs,Lin Jing,China,Dota 2,1538841.42,1538841.42,100,https://www.esportsearnings.com/players/highest-earnings-top-200
103,Monet,"Du, Peng",China,Dota 2,1535720.98,1535720.98,100,https://www.esportsearnings.com/players/highest-earnings-top-200
104,LaNm,"Zhang, Zhicheng",China,Dota 2,1529400.71,1528948.03,99.97,https://www.esportsearnings.com/players/highest-earnings-top-200
105,Ori,"Zeng, Jiaoyang",China,Dota 2,1527561.42,1527561.42,100,https://www.esportsearnings.com/players/highest-earnings-top-200
106,Shotzzy,Anthony Cuevas-Castro,United States,Call of Duty: Modern Warfare,1523775,355500,23.330000000000002,https://www.esportsearnings.com/players/highest-earnings-top-200
107,Alan,"Wang, Tianlong",China,Arena of Valor,1508589.45,1508589.45,100,https://www.esportsearnings.com/players/highest-earnings-top-200
108,MiSeRy,Rasmus Fillipsen,Denmark,Dota 2,1505197.74,1502601.92,99.83,https://www.esportsearnings.com/players/highest-earnings-top-200
109,B1t,Valeriy Vakhovskiy,Ukraine,Counter-Strike: Global Offensive,1461957.7,1050707.7,71.86999999999999,https://www.esportsearnings.com/players/highest-earnings-top-200
110,dyrachYO,Anton Shkredov,Russian Federation,Dota 2,1455949.6,1455949.6,100,https://www.esportsearnings.com/players/highest-earnings-top-200
111,Kakeru,- -,Japan,Street Fighter 6,1455614.85,1453174.85,99.83,https://www.esportsearnings.com/players/highest-earnings-top-200
112,Arcitys,Alec Sanderson,United States,Call of Duty: Black Ops Cold War,1428804.09,487500,34.120000000000005,https://www.esportsearnings.com/players/highest-earnings-top-200
113,paraboy,"Zhu, Bocheng",China,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,1426546,1420546,99.58,https://www.esportsearnings.com/players/highest-earnings-top-200
114,tOfu,Erik Engel,Germany,Dota 2,1423831.7,1422817.33,99.93,https://www.esportsearnings.com/players/highest-earnings-top-200
115,C6,Ian Porter,United States,Call of Duty: Modern Warfare,1418092.8,353000,24.89,https://www.esportsearnings.com/players/highest-earnings-top-200
116,YiZ,"Liu, Tianhao",China,Arena of Valor,1417437.61,1417437.61,100,https://www.esportsearnings.com/players/highest-earnings-top-200
117,FATA,Adrian Trinks,Germany,Dota 2,1410552.48,1410552.48,100,https://www.esportsearnings.com/players/highest-earnings-top-200
118,Fenrir,"Lu, Chao",China,Dota 2,1406042.25,1406042.25,100,https://www.esportsearnings.com/players/highest-earnings-top-200
119,RodjER,Vladimir Nikogosyan,Armenia,Dota 2,1404636.1,1404636.1,100,https://www.esportsearnings.com/players/highest-earnings-top-200
120,Fanfan,"Fan, Yang",China,Arena of Valor,1403112.86,1403112.86,100,https://www.esportsearnings.com/players/highest-earnings-top-200
121,Mu,"Zhang, Pan",China,Dota 2,1390711.71,1386339.43,99.69,https://www.esportsearnings.com/players/highest-earnings-top-200
122,Maru,"Cho, Sung Choo","Korea, Republic of",StarCraft II,1386351.22,1386351.22,100,https://www.esportsearnings.com/players/highest-earnings-top-200
123,Seleri,Melchior Hillenkamp,Netherlands,Dota 2,1382064.91,1382064.91,100,https://www.esportsearnings.com/players/highest-earnings-top-200
